Stock Symbol,Strategy Name,Trade Type,Number of Trades,Number of Winning Trades,Number of Losing Trades,Total Profit/Loss,Profit/Loss per Trade,Median Profit/Loss
INFY.NS,rsi_strategy,Buy,35,16,19,-626.0455031244533,-17.88701437498438,-33.30573835068138
INFY.NS,rsi_strategy,Sell,61,15,46,-2626.802350893323,-43.062333621202015,-106.51041798370818
INFY.NS,moving_average_crossover,Buy,109,42,67,4554.118827234776,41.78090667187868,-64.14259936990327
INFY.NS,moving_average_crossover,Sell,78,31,47,-624.9936899247609,-8.012739614420012,-84.44282017251365
RELIANCE.NS,rsi_strategy,Buy,37,13,24,-615.8354447753513,-16.64420121014463,-34.13462457314145
RELIANCE.NS,rsi_strategy,Sell,65,17,48,-2453.431703530492,-37.74510313123834,-74.85961225339946
RELIANCE.NS,moving_average_crossover,Buy,92,44,48,2030.3330448824577,22.06883744437454,-26.588052552677194
RELIANCE.NS,moving_average_crossover,Sell,90,34,56,-1747.44331179862,-19.416036797762445,-78.61685518299461
HDFCBANK.NS,rsi_strategy,Buy,34,10,24,103.25653305644596,3.036956854601352,-116.00940445216884
HDFCBANK.NS,rsi_strategy,Sell,47,19,28,1246.6467827960216,26.524399633957906,-60.58142071240357
HDFCBANK.NS,moving_average_crossover,Buy,92,33,59,-1999.3014102124473,-21.731537067526602,-65.07510528334184
HDFCBANK.NS,moving_average_crossover,Sell,87,26,61,-1896.9104177399852,-21.80356801999983,-79.55541933980467
